Lote,Anio,Mes,Pollos,Bolsas_Iniciador,Bolsas_Terminador,Unitario_Pollo,Unitario_Iniciador,Unitario_Terminador,Traslado_Pollo,Traslado_Alim,Precio_Pollos,Precio_Alim_Ini,Precio_Alim_Ter,Total_Alimento,Traslado_Pollos_ER_EZ,Traslado_Alim_BSAS_RGA,Precio_Total
8,2026,Enero,4200,300,900,1000.00,14475.00,13976.00,158.33,5500.00,4200000.00,4342500.00,12578400.00,16920900.00,665000.00,6600000.00,28385900.00
9,2026,Mayo,4200,260,1100,1100.00,15412.00,14938.00,191.67,6250.00,4620000.00,4007120.00,16431800.00,20438920.00,805000.00,8500000.00,34363920.00
